# Simulation 1 (Up to date),,,,,,,
# 1088 data points written for 8 variables.,,,,,,,
#,,,,,,,
# Time (s),Altitude (m),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Mass (g),Thrust (N),Drag force (N)
# Event LAUNCH occurred at t=0 seconds,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,
0,0,-6.6983,0,6.7024,21261,65.566,2.64E-06
0.01,0,-0.555,0,0.55533,21261,196.26,2.60E-06
0.02,0,5.5908,0,5.5942,21257,326.95,2.56E-06
0.03,2.80E-04,11.739,0.055962,11.746,21254,457.64,1.59E-05
0.04,0.0014259,17.888,0.17345,17.899,21251,588.33,1.17E-04
0.05,0.0040539,24.04,0.35248,24.055,21247,719.02,5.96E-04
0.06,0.0087787,30.194,0.59307,30.212,21244,849.71,0.0021405
0.07,0.016216,36.349,0.89524,36.371,21240,980.4,0.0059264
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,
0.08,0.02698,42.506,1.259,42.532,21237,1111.1,0.013468
0.09,0.041688,48.666,1.6844,48.695,21233,1241.8,0.026307
0.1,0.060956,51.542,2.1714,51.573,21230,1302.7,0.04574
0.11,0.085235,51.138,2.6873,51.169,21225,1293.8,0.070893
0.12,0.11465,50.738,3.1991,50.769,21218,1285,0.099909
0.13,0.14916,50.338,3.707,50.369,21212,1276.1,0.13219
0.14,0.18872,49.938,4.2108,49.968,21205,1267.3,0.16729
0.15,0.2333,49.537,4.7106,49.567,21198,1258.4,0.20491
0.16,0.28286,49.136,5.2065,49.166,21192,1249.5,0.24379
0.17,0.33735,48.735,5.6983,48.764,21185,1240.7,0.28391
0.18,0.39673,48.333,6.186,48.363,21178,1231.8,0.32422
0.19,0.46097,47.931,6.6698,47.96,21172,1223,0.36404
0.2,0.53003,47.769,7.1496,47.798,21165,1219.2,0.40391
0.21,0.60387,47.846,7.6277,47.875,21158,1220.5,0.45146
0.22,0.68249,47.923,8.1066,47.952,21152,1221.8,0.50144
0.23,0.76591,48,8.5862,48.03,21145,1223.1,0.55388
